City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,basoko,1.2391,23.616,26.29,61,100,1.79,CD,1707700928
254,outjo,-20.1167,16.15,22.23,75,84,2.33,,1707700928
255,east london,-33.0153,27.9116,19.39,80,7,4.9,ZA,1707700928
256,prabumulih,-3.45,104.25,24.87,93,47,2.23,ID,1707700929
257,belle fourche,44.6714,-103.8522,3.73,60,100,3.28,US,1707700929
258,mugia,43.1041,-9.2179,14.39,85,87,13.9,ES,1707700929
259,sinop,41.7711,34.8709,9.27,63,100,3.49,TR,1707700930
260,kijang,35.2442,129.2139,2.85,46,0,1.19,KR,1707700930
261,didwana,27.4,74.5667,12.37,34,100,2.66,IN,1707700930
262,keflavik,64.0049,-22.5624,-0.76,74,0,4.63,IS,1707700930
263,zhatay,62.1594,129.8294,-34.97,68,0,3.0,RU,1707700931
264,tiruchchendur,8.4833,78.1167,24.16,78,41,7.13,IN,1707700931
265,nouadhibou,20.931,-17.0347,20.99,68,0,5.66,MR,1707700931
266,igarka,67.4667,86.5833,-32.97,92,19,2.39,RU,1707700932
267,tibiri,13.5627,7.0485,21.76,13,2,3.94,NE,1707700932
268,las palmas,28.4204,-14.0131,17.44,77,0,3.6,ES,1707700932
269,tutoia,-2.7619,-42.2744,26.56,90,93,3.6,BR,1707700933
270,iskateley,67.6803,53.1512,-33.32,100,15,1.79,RU,1707700933
271,sao felix do xingu,-6.6447,-51.995,23.19,99,100,1.55,BR,1707700934
272,wolmaransstad,-27.1974,25.9831,16.58,89,0,4.97,ZA,1707700934
273,pirallahi,40.4723,50.333,5.08,61,96,3.77,AZ,1707700934
274,inari,68.906,27.0288,-19.89,97,53,2.6,FI,1707700934
275,ardakan,32.31,54.0175,8.91,29,1,2.8,IR,1707700935
276,toba,34.4833,136.85,7.83,59,7,2.68,JP,1707700771
277,roosevelt,33.9668,-103.4505,-1.07,89,100,3.26,US,1707700935
278,twon-brass,4.3151,6.2418,27.78,88,9,4.24,NG,1707700935
279,fortuna,40.5982,-124.1573,13.32,91,0,0.0,US,1707700936
280,waingapu,-9.6567,120.2641,28.99,72,75,3.38,ID,1707700936
281,ta`u,-14.2336,-169.5144,28.85,80,100,7.72,AS,1707700937
282,vadso,70.0744,29.7487,-6.91,79,100,4.63,NO,1707700937
283,hinton,53.4001,-117.5857,-1.74,96,100,0.8,CA,1707700938
284,st. john's,47.5649,-52.7093,1.66,92,100,4.12,CA,1707700833
285,westport,41.1415,-73.3579,6.99,64,75,1.54,US,1707700939
286,iranshahr,27.2025,60.6848,16.1,60,100,3.3,IR,1707700940
287,santa ana de yacuma,-13.75,-65.4333,26.8,83,100,1.91,BO,1707700941
288,faaborg,55.0951,10.2423,4.0,97,100,4.78,DK,1707700941
289,sergeyevka,53.88,67.4158,-21.77,98,8,3.25,KZ,1707700942
290,san luis,-33.295,-66.3356,25.59,69,82,2.82,AR,1707700943
291,new norfolk,-42.7826,147.0587,25.4,32,87,1.65,AU,1707700943
292,yemva,62.59,50.8594,-25.82,100,100,1.23,RU,1707700943
293,bosaso,11.2842,49.1816,24.72,71,6,3.1,SO,1707700944
294,lerwick,60.1545,-1.1494,5.0,98,100,9.82,GB,1707700944
295,tuburan,6.6439,122.2736,30.05,68,91,5.0,PH,1707700945
296,el nido,11.1858,119.3956,26.53,75,65,11.86,PH,1707700945
297,alpena,45.0617,-83.4327,-0.82,92,100,0.0,US,1707700945
298,matara,5.9485,80.5353,23.1,83,74,2.65,LK,1707700946
299,den burg,53.0542,4.7972,7.98,91,100,4.12,NL,1707700946
300,teodoro sampaio,-22.5325,-52.1675,28.4,40,75,2.57,BR,1707700946
301,pachino,36.7186,15.0907,12.52,73,0,10.55,IT,1707700947
302,shingu,33.7333,135.9833,8.25,44,16,4.23,JP,1707700947
303,kapa'a,22.0752,-159.319,25.99,71,100,7.72,US,1707700947
304,port hedland,-20.3167,118.5667,37.03,32,0,3.6,AU,1707700948
305,qalat,32.1058,66.9083,4.85,43,100,3.33,AF,1707700948
306,kavaratti,10.5669,72.642,27.72,71,64,4.55,IN,1707700764
307,batang,-6.4846,110.7083,27.39,81,18,5.02,ID,1707700949
308,bochum,51.4833,7.2167,8.54,89,91,0.45,DE,1707700949
309,kuta,-8.7233,115.1723,28.97,83,75,4.63,ID,1707700950
310,sierra grande,-41.606,-65.3557,26.36,18,100,13.73,AR,1707700950
311,tamandare,-8.7597,-35.1047,25.57,88,100,1.43,BR,1707700950
312,lompoc,34.6391,-120.4579,15.56,64,0,4.12,US,1707700951
313,mount isa,-20.7333,139.5,33.87,46,40,4.12,AU,1707700951
314,aasiaat,68.7098,-52.8699,-22.43,99,100,5.3,GL,1707700951
315,uliastay,47.7417,96.8444,-6.99,75,100,2.99,MN,1707700952
316,kurgan,55.45,65.3333,-19.01,98,17,2.68,RU,1707700952
317,dunedin,-45.8742,170.5036,17.11,66,90,1.34,NZ,1707700952
318,zambezi,-13.5432,23.1047,20.38,78,85,0.72,ZM,1707700953
319,pakuranga,-36.8833,174.9167,24.35,56,4,4.63,NZ,1707700953
320,port moresby,-9.4431,147.1797,30.08,64,64,2.98,PG,1707700783
321,balabac,7.9868,117.0645,27.07,80,40,9.24,PH,1707700953
322,bodo,67.28,14.405,-5.13,63,0,12.86,NO,1707700954
323,mabaruma,8.2,-59.7833,22.54,92,94,1.68,GY,1707700954
324,caras,-9.0467,-77.8114,18.4,87,99,0.83,PE,1707700954
325,metlili chaamba,32.2667,3.6333,15.52,36,0,0.0,DZ,1707700955
326,sinabang,2.4803,96.3801,27.45,76,6,0.69,ID,1707700955
327,rio san juan,19.6439,-70.0763,23.23,70,0,6.15,DO,1707700955
328,coronel dorrego,-38.7187,-61.2873,24.32,65,77,5.64,AR,1707700956
329,yaren,-0.5472,166.916,28.27,75,95,1.68,NR,1707700956
330,sheridan,44.8333,-106.9173,3.16,58,100,2.57,US,1707700956
331,mandalgovi,45.7625,106.2708,-10.15,77,0,6.13,MN,1707700957
332,magadan,59.5667,150.8,-23.04,83,100,2.92,RU,1707700957
333,poncitlan,20.3667,-102.9167,20.95,31,99,2.86,MX,1707700957
334,puerto leguizamo,-0.1934,-74.7819,24.42,95,100,1.26,CO,1707700957
335,bamboo flat,11.7,92.7167,27.51,73,17,5.82,IN,1707700958
336,oyama,36.3,139.8,8.1,65,59,1.88,JP,1707700958
337,grande prairie,55.1667,-118.8027,-0.9,64,75,2.06,CA,1707700958
338,yuanlin,30.4151,112.8859,10.12,70,17,3.89,CN,1707700958
339,khovd,48.0056,91.6419,-3.53,59,19,4.99,MN,1707700959
340,mount pearl,47.5166,-52.7813,1.19,93,100,4.12,CA,1707700959
341,dongling,41.8144,123.5758,3.05,70,0,5.59,CN,1707700959
342,alofi,-19.0595,-169.9187,29.94,79,100,4.12,NU,1707700960
343,gorontalo,0.5412,123.0595,27.12,87,97,1.34,ID,1707700960
344,plettenberg bay,-34.0527,23.3716,19.5,66,2,1.96,ZA,1707700960
345,viale,-31.8678,-60.0072,31.0,46,100,2.01,AR,1707700960
346,altai,46.3722,96.2583,-4.07,47,89,12.92,MN,1707700884
347,choma,-16.8065,26.9531,17.39,96,95,2.77,ZM,1707700961
348,morehead city,34.7229,-76.726,18.01,89,40,4.12,US,1707700961
349,withernsea,53.7311,0.0335,5.61,88,12,5.9,GB,1707700691
350,gangtok,27.3333,88.6167,5.06,47,0,2.89,IN,1707700961
351,cidade velha,14.9167,-23.6167,22.26,78,20,4.63,CV,1707700962
352,susuman,62.7833,148.1667,-32.79,99,98,0.45,RU,1707700962
353,orchard homes,46.8633,-114.0484,2.08,72,100,2.06,US,1707700962
354,nelson bay,-32.7167,152.15,27.03,41,9,2.13,AU,1707700963
355,luba,3.4568,8.5547,25.94,87,100,2.07,GQ,1707700963
356,klyuchi,52.2667,79.1667,-14.41,87,100,7.36,RU,1707700963
357,san andres,12.5847,-81.7006,28.01,78,40,4.12,CO,1707700963
358,porbandar,21.6422,69.6093,17.62,45,58,4.76,IN,1707700964
359,murzuq,25.9155,13.9184,17.53,10,0,4.75,LY,1707700964
360,kayangel,8.0823,134.7173,27.53,82,100,9.04,PW,1707700964
361,lashkar gah,31.5938,64.3716,13.07,23,100,3.38,AF,1707700964
362,howard springs,-12.497,131.047,24.95,98,100,2.94,AU,1707700965
363,kas,36.2018,29.6377,14.15,70,100,5.72,TR,1707700965
